azon;nev;hossz;melyseg;telepules;vedettseg
64;Esztáz-kõi-barlang;160;18;Felsõtárkány;megkülönböztetetten védett
65;Esztramosi 6. szint 1. sz. barlangja;100;0;Tornaszentandrás;védett
66;Esztramosi Felsõ-táró 1. sz. barlangja;152;9;Tornaszentandrás;védett
67;Esztramosi Földvári Aladár-barlang;410;7;Bódvarákó;fokozottan védett
68;Esztramosi Pantó-barlang;470;0;Tornaszentandrás;védett
69;Fecske-lyuk;350;8;Miskolc II.Kerület;fokozottan védett
70;Fekete-barlang;3450;169;Miskolc III.Kerület;fokozottan védett
71;Felsõ-barlang;253;25;Miskolc II.Kerület;megkülönböztetetten védett
72;Fenyves-réti 1. sz. víznyelõbarlang;122;19;Miskolc III.Kerület;megkülönböztetetten védett
73;Ferenc 5-6. sz. barlang;103;30;Budapest II. Ker.;megkülönböztetetten védett
74;Ferenc-hegyi-barlang;6641;45;Budapest II. Ker.;fokozottan védett
75;Frank-barlang;203;46;Bódvaszilas;fokozottan védett
76;Gánti-barlang;149;14;Gánt;megkülönböztetetten védett
77;Gilisztás-víznyelõbarlang;134;51;Orfû;védett
78;Gyurkó-lápai-barlang;181;39;Varbó;fokozottan védett
79;Hajnóczy-barlang;4250;81;Cserépfalu;fokozottan védett
80;Hajszabarnai Pénz-lik;120;13;Bakonyjákó;fokozottan védett
81;Háromkürtõ-zsomboly;214;89;Tés;fokozottan védett
82;Hárskúti-cseppkõbarlang;1171;76;Hárskút;védett
83;Herman Ottó-barlang;131;2;Miskolc III.Kerület;fokozottan védett
84;Hillebrand Jenõ-barlang;240;16;Parasznya;fokozottan védett
85;Ikertebri-víznyelõbarlang;396;69;Miskolc III.Kerület;megkülönböztetetten védett
86;Ilus-kúti-zsomboly;170;14;Bükkzsérc;védett
87;István-lápai-barlang;7500;247;Miskolc III.Kerület;fokozottan védett
88;Jakucs László-barlang;154;24;Balatonederics;fokozottan védett
89;Jáspis-barlang;1051;189;Miskolc III.Kerület;fokozottan védett
90;József-hegyi-barlang;5446;100;Budapest II. Ker.;fokozottan védett
91;Jubileumi-zsomboly;222;121;Tés;fokozottan védett
92;Jura-zsomboly;147;41;Süttõ;megkülönböztetetten védett
93;Kajla-zsomboly;128;28;Bükkszentkereszt;megkülönböztetetten védett
94;Kalapács-kõi-barlang;260;38;Parasznya;megkülönböztetetten védett
95;Kálvária-hegyi 1. sz. barlang;144;11;Tatabánya;védett
96;Károlyházi-nyelõ barlangja;100;65;Csesznek;megkülönböztetetten védett
97;Kecske-lyuk;480;0;Miskolc III.Kerület;fokozottan védett
98;Kecskés-kúti-forrásbarlang;108;0;Szögliget;védett
99;Keselõ-hegyi 11. sz. barlang;175;66;Tatabánya;megkülönböztetetten védett
100;Keselõ-hegyi-barlang;604;115;Tatabánya;fokozottan védett
101;Kessler Hubert-barlang;2416;195;Balatonederics;fokozottan védett
102;Kesztölci-barlang;100;0;Kesztölc;megkülönböztetetten védett
